chieftainship	NN	1	00590383	the position of chieftain
saxony	NN	1	08769179	an area in Germany around the upper Elbe river; the original home of the Saxons
ondatra zibethica	NN	1	02338145	beaver-like aquatic rodent of North America with dark glossy brown fur
rose campion	NN	1	11812094	an old cottage garden plant of southeastern Europe widely cultivated for its attractive white woolly foliage and showy crimson flowers
enjoyment	NN	1	07491708	the pleasure felt when having a good time
german shepherd dog	NN	1	02106662	breed of large shepherd dogs used in police work and as a guide for the blind
quilt	VB	1	01667449	stitch or sew together; "quilt the skirt"
wake island	NN	1	08838556	an island in the western Pacific between Guam and Hawaii
admiralty	NN	1	08349548	the department in charge of the navy (as in Great Britain)
watchman	NN	1	10770059	a guard who keeps watch
twaddle	VB	1	01036804	speak (about unimportant matters) rapidly and incessantly
yodel	NN	1	07123710	a songlike cry in which the voice fluctuates rapidly between the normal voice and falsetto
apostolic delegate	NN	1	09799607	(Roman Catholic Church) a representative of the Holy See in a country that has no formal diplomatic relations with it
exhilaration	NN	1	07528212	the feeling of lively and cheerful joy; "he could hardly conceal his excitement when she agreed"
latticework	NN	1	03646916	framework consisting of an ornamental design made of strips of wood or metal
lifer	NN	1	10261041	a prisoner serving a term of life imprisonment
mandragora	NN	1	12906334	a genus of stemless herbs of the family Solanaceae
dispraise	NN	1	01219893	the act of speaking contemptuously of
genus bletia	NN	1	12046251	genus of tropical American terrestrial orchids with large purple or pink flowers
silicon valley	NN	1	09166902	a region in California to the south of San Francisco that is noted for its concentration of high-technology industries
placodermi	NN	1	01479937	extinct group of bony-plated fishes with primitive jaws
idolization	NN	1	01218766	the act of admiring strongly
rhincodontidae	NN	1	01487743	small-toothed sharks comprising only one species
taurotragus	NN	1	02426634	African antelopes: elands
saddam's martyrs	NN	1	08207672	a feared paramilitary unit formed in 1995 by young soldiers to serve Saddam Hussein against domestic opponents
otariidae	NN	1	02076535	eared seals: sea lions and fur seals
preachification	NN	1	06743230	moralization delivered tediously in a preachy manner
vena peroneus	NN	1	05376844	accompany the peroneal arteries; arising in the heel and running up the back of the leg to join the posterior tibial veins of the popliteal vein
sledgehammer	NN	1	03731695	a heavy long-handled hammer used to drive stakes or wedges
shipyard	NN	1	04197235	a workplace where ships are built or repaired
adequateness	NN	1	04792357	the quality of being able to meet a need satisfactorily: "he questioned the adequacy of the usual sentimental interpretation of the Golden Rule"
third estate	NN	1	08168117	the common people
redoubt	NN	1	04066476	(military) a temporary or supplementary fortification; typically square or polygonal without flanking defenses
freewheeler	NN	1	10109662	someone acting freely or even irresponsibly
union representative	NN	1	10738515	a representative for a labor union
sundacarpus	NN	1	11659500	one species
baffle board	NN	1	02772868	a flat plate that controls or directs the flow of fluid or energy
squat	VB	1	01545314	sit on one's heels; "In some cultures, the women give birth while squatting"; "The children hunkered down to protect themselves from the sandstorm"
jacaranda	NN	1	12523475	an important Brazilian timber tree yielding a heavy hard dark-colored wood streaked with black
genus cheiranthus	NN	1	11883137	Old World perennial plants grown for their showy flowers
st. lucia	NN	1	08988609	a country on the island of Saint Lucia; gained independence from Great Britain in 1979
pyrrhula	NN	1	01534034	bullfinches
slezsko	NN	1	09166534	a region of central Europe rich in deposits of coal and iron ore; annexed by Prussia in 1742 but now largely in Poland
ramble	NN	1	00284409	an aimless amble on a winding course
lobularity	NN	1	05064722	the property of having lobules
family bacteroidaceae	NN	1	01364587	family of bacteria living usually in the alimentary canal or on mucous surfaces of warm-blooded animals; sometimes associated with acute infective processes
leaf beetle	NN	1	02169497	brightly colored beetle that feeds on plant leaves; larvae infest roots and stems
school year	NN	1	15203565	the period of time each year when the school is open and people are studying
papal nuncio	NN	1	10368113	(Roman Catholic Church) a diplomatic representative of the Pope having ambassadorial status
talwin	NN	1	03912664	analgesic drug (trade name Talwin) that is less addictive than morphine
allometry	NN	1	05998356	the study of the relative growth of a part of an organism in relation to the growth of the whole
uterine cervix	NN	1	05303232	necklike opening to the uterus
midwestern united states	NN	1	08564307	the north central region of the United States (sometimes called the heartland or the breadbasket of America)
hemophilia a	NN	1	14170772	hemophilia caused by a congenital deficiency of factor VIII; occurs almost exclusively in men
paridae	NN	1	01591490	titmice and chickadees
family crangonidae	NN	1	01986538	shrimps
surgical contraception	NN	1	00853487	contraception by surgical sterilization
the alps	NN	1	09194357	a large mountain system in south-central Europe; scenic beauty and winter sports make them a popular tourist attraction
privatization	NN	1	01152033	changing something from state to private ownership or control
spade	VB	1	01310249	dig (up) with a spade; "I spade compost into the flower beds"
propellent	NN	1	14691822	any substance that propels
podicipitiformes	NN	1	02049299	grebes
odocoileus hemionus columbianus	NN	1	02432704	mule deer of western Rocky Mountains
fate	VB	1	00746479	decree or designate beforehand; "She was destined to become a great pianist"
no-account	NN	1	10135953	an idle worthless person
staff officer	NN	1	10644839	a commissioned officer assigned to a military commander's staff
credible	JJ	1	00644839	capable of being believed; "completely credible testimony"; "credible information"
trench	NN	1	04478657	a ditch dug as a fortification having a parapet of the excavated earth
psyche	NN	1	05611302	that which is responsible for one's thoughts and feelings; the seat of the faculty of reason; "his mind wandered"; "I couldn't get his words out of my head"
rabat	NN	1	08970445	the capital of Morocco; located in the northwestern on the Atlantic coast
strongbox	NN	1	04340750	a strongly made box for holding money or valuables; can be locked
robert nesta marley	NN	1	11157580	Jamaican singer who popularized reggae (1945-1981)
sudan	NN	1	09029457	a republic in northeastern Africa on the Red Sea; achieved independence from Egypt and the United Kingdom in 1956
symphalangus	NN	1	02483564	used in some classifications for the siamangs   pull (a person) apart with four horses tied to his extremities, so as to execute him; "in the old days, people were drawn and quartered for certain crimes"
psephurus	NN	1	02639786	a genus of Polyodontidae
victor hugo	NN	1	11065345	French poet and novelist and dramatist; leader of the romantic movement in France (1802-1885)
mycosis	NN	1	14176895	an inflammatory condition caused by a fungus
maltster	NN	1	10286855	a maker of malt
grownup	NN	1	09605289	a fully developed person from maturity onward
manchuria	NN	1	08722844	a region in northeastern China
bush pea	NN	1	12573256	any of various plants of the genus Thermopsis having trifoliate leaves and yellow or purple racemose flowers
flame nettle	NN	1	12844939	any of various Old World tropical plants of the genus Coleus having multicolored decorative leaves and spikes of blue flowers
ticker	NN	1	05388805	the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body; "he stood still, his heart thumping wildly"
sealer	NN	1	14705718	a kind of sealing material that is used to form a hard coating on a porous surface (as a coat of paint or varnish used to size a surface)
rhexia	NN	1	12349916	deer grass
fastener	NN	1	10080337	a person who fastens or makes fast; "he found the door fastened and wondered who the fastener was"
confide	VB	1	00936465	reveal in private; tell confidentially
receptionist	NN	1	10511069	a secretary whose main duty is to answer the telephone and receive visitors
rushing	NN	1	00560293	(American football) an attempt to advance the ball by running into the line; "the linebackers were ready to stop a rush"
vidua	NN	1	01543272	whydahs
pseudococcus	NN	1	02250653	type genus of the Pseudococcidae
sutura sagittalis	NN	1	05545047	the suture uniting the two parietal bones
tempt	VB	1	00793785	dispose or incline or entice to; "We were tempted by the delicious-looking food"
existentialist philosopher	NN	1	10071557	a philosopher who emphasizes freedom of choice and personal responsibility but who regards human existence in a hostile universe as unexplainable
trevino	NN	1	11348812	United States golfer (born in 1939)
salvadorian	NN	1	09700823	a native or inhabitant of El Salvador
kinswoman	NN	1	10237069	a female relative
pillars of hercules	NN	1	09392162	the two promontories at the eastern end of the Strait of Gibraltar; according to legend they were formed by Hercules
epidendrum venosum	NN	1	12061614	Mexican epiphytic orchid having pale green or yellow-green flowers with white purple-veined lip
cash machine	NN	1	02977058	an unattended machine (outside some banks) that dispenses money when a personal coded card is used
violoncellist	NN	1	09903501	someone who plays a violoncello
retrogression	NN	1	07426893	passing from a more complex to a simpler biological form
elevator operator	NN	1	10050432	an operator of an elevator
dye	VB	1	00283090	color with dye; "Please dye these shoes"
arbitration	NN	1	07150850	(law) the hearing and determination of a dispute by an impartial referee agreed to by both parties (often used to settle disputes between labor and management)
peritrate	NN	1	03912328	a coronary vasodilator (trade name Peritrate) used to treat angina pectoris
attorneyship	NN	1	00589217	the position of attorney
pleione	NN	1	12078954	small genus of dwarf orchids; India to Thailand and Taiwan
nanga parbat	NN	1	09365288	a mountain in the Himalayas in Kashmir (26,660 feet high)
salsify	NN	1	12027538	edible root of the salsify plant
cliff dwelling	NN	1	03042490	a rock and adobe dwelling built on sheltered ledges in the sides of a cliff; "the Anasazi built cliff dwellings in the southwestern United States"
gas shell	NN	1	03421768	(military) bomb consisting of an explosive projectile filled with a toxic gas that is released when the bomb explodes
tachygraphy	NN	1	06350127	a method of writing rapidly
winter heliotrope	NN	1	12002651	European herb with vanilla-scented white-pink flowers
fault line	NN	1	08569591	(geology) line determined by the intersection of a geological fault and the earth's surface
weakener	NN	1	09476521	that which weakens or causes a loss of strength; "doubt is a great weakener of resolve"
ndjamena	NN	1	08720280	the capital and largest city of Chad; located in the southwestern on the Shari river
trigonometric function	NN	1	13786960	function of an angle expressed as a ratio of the length of the sides of right-angled triangle containing the angle
